Date,topic,retweets,valence,count
2009-10-14,cannabis,TRUE,Neutral,0
2009-10-15,cannabis,TRUE,Neutral,0
2009-10-16,cannabis,TRUE,Neutral,0
2009-10-17,cannabis,TRUE,Neutral,0
2009-10-18,cannabis,TRUE,Neutral,0
2009-10-19,cannabis,TRUE,Neutral,0
2009-10-20,cannabis,TRUE,Neutral,0
2009-10-21,cannabis,TRUE,Neutral,0
2009-10-22,cannabis,TRUE,Neutral,0
2009-10-23,cannabis,TRUE,Neutral,0
2009-10-24,cannabis,TRUE,Neutral,0
2009-10-25,cannabis,TRUE,Neutral,0
2009-10-26,cannabis,TRUE,Neutral,0
2009-10-27,cannabis,TRUE,Neutral,0
2009-10-28,cannabis,TRUE,Neutral,1
2009-10-29,cannabis,TRUE,Neutral,0
2009-10-30,cannabis,TRUE,Neutral,1
2009-10-31,cannabis,TRUE,Neutral,0
2009-11-01,cannabis,TRUE,Neutral,0
2009-11-02,cannabis,TRUE,Neutral,0
2009-11-03,cannabis,TRUE,Neutral,0
2009-11-04,cannabis,TRUE,Neutral,0
2009-11-05,cannabis,TRUE,Neutral,0
2009-11-06,cannabis,TRUE,Neutral,1
2009-11-07,cannabis,TRUE,Neutral,0
2009-11-08,cannabis,TRUE,Neutral,0
2009-11-09,cannabis,TRUE,Neutral,0
2009-11-10,cannabis,TRUE,Neutral,0
2009-11-11,cannabis,TRUE,Neutral,0
2009-11-12,cannabis,TRUE,Neutral,0
2009-11-13,cannabis,TRUE,Neutral,1
2009-11-14,cannabis,TRUE,Neutral,0
2009-11-15,cannabis,TRUE,Neutral,0
2009-11-16,cannabis,TRUE,Neutral,0
2009-11-17,cannabis,TRUE,Neutral,1
2009-11-18,cannabis,TRUE,Neutral,0
2009-11-19,cannabis,TRUE,Neutral,0
2009-11-20,cannabis,TRUE,Neutral,0
2009-11-21,cannabis,TRUE,Neutral,0
2009-11-22,cannabis,TRUE,Neutral,0
2009-11-23,cannabis,TRUE,Neutral,6
2009-11-24,cannabis,TRUE,Neutral,0
2009-11-25,cannabis,TRUE,Neutral,0
2009-11-26,cannabis,TRUE,Neutral,0
2009-11-27,cannabis,TRUE,Neutral,0
2009-11-28,cannabis,TRUE,Neutral,0
2009-11-29,cannabis,TRUE,Neutral,0
2009-11-30,cannabis,TRUE,Neutral,0
2009-12-01,cannabis,TRUE,Neutral,0
2009-12-02,cannabis,TRUE,Neutral,0
2009-12-03,cannabis,TRUE,Neutral,0
2009-12-04,cannabis,TRUE,Neutral,0
2009-12-05,cannabis,TRUE,Neutral,0
2009-12-06,cannabis,TRUE,Neutral,0
2009-12-07,cannabis,TRUE,Neutral,1
2009-12-08,cannabis,TRUE,Neutral,0
2009-12-09,cannabis,TRUE,Neutral,0
2009-12-10,cannabis,TRUE,Neutral,0
2009-12-11,cannabis,TRUE,Neutral,0
2009-12-12,cannabis,TRUE,Neutral,0
2009-12-13,cannabis,TRUE,Neutral,0
2009-12-14,cannabis,TRUE,Neutral,0
2009-12-15,cannabis,TRUE,Neutral,0
2009-12-16,cannabis,TRUE,Neutral,0
2009-12-17,cannabis,TRUE,Neutral,0
2009-12-18,cannabis,TRUE,Neutral,0
2009-12-19,cannabis,TRUE,Neutral,0
2009-12-20,cannabis,TRUE,Neutral,0
2009-12-21,cannabis,TRUE,Neutral,0
2009-12-22,cannabis,TRUE,Neutral,0
2009-12-23,cannabis,TRUE,Neutral,0
2009-12-24,cannabis,TRUE,Neutral,0
